datadate,GroupCount,mean_V,median_V,mode_V,std_V,min_V,max_V,skewness_V,kurtosis_V
2001-01-11,43,46502.3326951379,16828.0876830629,550.124780994896,98865.5542378895,550.124780994896,521369.040487625,3.67550365092015,16.1031261216539
2001-01-12,43,56872.6748469016,19240.1319363616,498.879489903756,125655.844526317,498.879489903756,613912.349118331,3.47490096426427,14.0720727540726
2001-01-16,45,58496.6229605662,21058.664333591,476.271726432191,129064.106053735,476.271726432191,665170.594438365,3.63254681822936,15.5367553517675
2001-01-17,45,69144.7939614933,20714.464822366,445.547277812431,146589.525258853,445.547277812431,754000.74684799,3.3114528574463,13.7470175813751
2001-01-18,45,65948.7290980635,21055.1616757937,419.600345134992,140092.223173311,419.600345134992,754000.747393084,3.62287557394427,16.2188563489301
2001-01-19,45,64211.7755347877,20652.1637100066,396.950143999543,130957.949559476,396.950143999543,668179.673898749,3.35038790399309,13.9335163234922
2001-01-22,45,63565.7783904792,20268.6467903487,381.686129715242,129921.101680067,381.686129715242,666063.159580693,3.42308858488935,14.4160654888285
2001-01-23,46,64197.2612838305,20709.1399483569,363.325316231248,132974.85098691,363.325316231248,699526.453745511,3.5310092920125,15.2508714112699
2001-01-24,51,57891.5706131534,17935.371030382,349.918727884329,123787.622965631,349.918727884329,665620.001459421,3.65168466953924,16.1234530451844
2001-01-25,51,57428.0508288274,17917.9964788299,339.797445926073,122359.042761288,339.797445926073,643222.678440964,3.60602360836001,15.5557992216838
2001-01-26,52,55639.7085324274,18063.4642126919,353.748614964795,119569.204067956,353.748614964795,626930.078429394,3.62222180729365,15.6178667593929
2001-01-29,53,54909.1397234568,17569.0750879672,343.893249820493,120632.696524179,343.893249820493,651382.27268266,3.72899416199087,16.5701949217352
2001-01-30,49,57068.6952115589,17385.8186123773,340.70998042755,122761.075905677,340.70998042755,630377.327942778,3.51844146672877,14.8244857158355
2001-01-31,53,53656.6629360736,15261.0054602803,327.52066196704,120570.55035084,327.52066196704,653622.401999289,3.74114695746351,16.7001325632315
2001-02-01,53,53402.247148485,15071.4479448831,322.652223334762,118704.812167225,322.652223334762,636795.43884337,3.70010185836196,16.326370530953
2001-02-02,61,49755.0344466509,14833.2511343479,318.363692917167,111152.24703451,318.363692917167,627102.257553128,3.96230989248748,18.4753021813461
2001-02-05,61,50784.3269407014,14889.6298965771,312.196996262196,110183.994664379,312.196996262196,612142.950756566,3.90519817085565,17.95274019982
2001-02-06,62,50135.1488019175,16396.0356142707,306.595108001622,109597.074496848,306.595108001622,619873.481301793,3.97993133891125,18.6026754554964
2001-02-07,62,49888.9392433902,17188.6757052669,302.773773119963,108709.539174549,302.773773119963,609349.097249368,3.95811997804653,18.3576172088964
2001-02-08,62,50154.1609045644,17589.7755257027,298.427520814345,108623.96980379,298.427520814345,604776.309597127,3.9230866583071,18.0693580426068
