gvkey,GroupCount,mean_F_star,median_F_star,mode_F_star,std_F_star,min_F_star,max_F_star,skewness_F_star,kurtosis_F_star
1045,2662,18755.16743758,18547.4345933197,14568.5772745285,1461.22846427739,14568.5772745285,22951.7581065393,0.153797088455946,3.38310146909186
1075,742,6717.79557439901,6631.69276539948,5799.43718222538,457.311031842479,5799.43718222538,7917.87938613657,0.68844697808882,3.07845789526161
1078,2466,55575.043565088,56048.0778269378,35577.4995515219,10833.8190848657,35577.4995515219,85817.1664998045,0.502833769026091,2.40872544854632
1161,799,5997.75374413809,5971.87749515574,3590.9391704796,1027.75160920775,3590.9391704796,8952.22205743559,0.229825158505687,2.25399721220432
1177,4266,32094.6809263653,27994.485005913,18084.2079159803,12291.7487351424,18084.2079159803,66289.8529572766,1.15999858432648,3.23193238783347
1209,4836,15885.7763356754,14205.0340868724,6191.98360144851,7349.77626072005,6191.98360144851,44172.2926397968,1.11529998825738,4.12354698853391
1300,3189,33942.4132550005,29900.1647745956,17470.7481766631,10448.3937875026,17470.7481766631,59957.3926795704,0.868349568476134,2.72967377043597
1356,3866,18801.6901765256,17833.1998301128,10950.0302163576,3792.56641567661,10950.0302163576,29865.2607735081,0.686651801971089,2.53682576420872
1380,2400,17246.5799324762,17224.2818687384,10265.6955945515,3349.20674053022,10265.6955945515,28184.1715957265,0.263817994876296,3.43922510906375
1408,2389,8379.11316438324,8444.52881260456,4914.09961257122,1875.15309235288,4914.09961257122,12019.6233512972,0.0802212042364668,1.76029439622038
1440,3542,30351.220824149,29879.8007928389,20552.4455013012,5872.04275510443,20552.4455013012,43253.1821508143,0.280447936291276,1.90058081802788
1447,2147,104046.437443965,104579.394111555,70547.488514907,12397.1460014103,70547.488514907,127939.667045415,-0.258826699664763,2.44077008698208
1449,452,38105.2969424043,37494.8168190267,33654.9824675411,3378.01458607041,33654.9824675411,47143.4100207238,1.00763143371235,3.10435595444889
1468,1855,1068.28549262171,1041.45906535717,525.162814799995,241.784461191684,525.162814799995,1725.58279049481,0.352004752258415,2.70006779513339
1487,3179,390283.781379478,389145.961348605,244401.403890474,93734.8625046034,244401.403890474,579171.40844711,-0.00220386045570185,1.96965295991244
1602,3022,43571.8042930618,41551.7312059276,22436.1896879409,9825.92832459665,22436.1896879409,75995.9080218694,1.37619507608345,4.81436772044488
1632,754,4529.50963918213,3721.99442899602,3364.81453910128,1619.69692593864,2115.71982487523,8126.71747163324,0.559397717468439,1.83309448132328
1661,3143,4167.43647093703,4030.3921210833,4333.17039242836,849.405762813178,2117.72993822504,8108.80645582254,0.974574496932564,4.94044166953595
1678,2902,15273.4959464539,14900.1122476926,4154.29965191404,7236.0907240025,4154.29965191404,28896.9027764873,0.022563932869407,1.59767201432397
1690,298,47262.8459998354,47172.4566456434,30697.3258704958,11698.2424273682,30697.3258704958,71627.0387122734,0.345793312607564,2.08315163435811
1704,3123,10612.2254856046,10740.6398116565,7753.09839919919,2627.17383326887,4339.00759576238,21897.8338777734,0.419280965796227,3.54598443296765
1722,4755,22980.6436172758,25270.324850516,9492.9845814848,6722.40999357877,9492.9845814848,33686.1029075176,-0.718464901825737,2.21292184788423
1773,4040,5474.46424027489,5078.4723245546,2523.52332407275,1720.37795266035,2523.52332407275,9466.6756472065,0.408635988287962,2.09516243475912
1891,1524,27807.6945949939,26884.7450297539,21956.8964010072,3325.029711314,21956.8964010072,37177.7380686461,0.947254645994368,3.16014662546484
1913,1788,4652.20983948118,4719.11378400857,2614.98639996506,543.02087170271,2614.98639996506,5951.2203170481,-1.07960369188603,4.87466791551401
1919,4758,5088.74351613583,5068.59434358833,2245.45937982542,1452.37054372452,2245.45937982542,7831.78285231858,-0.0785564031300996,1.83772851150605
1920,4617,7412.25158883522,8056.21015387942,1781.58538176279,3069.71597081625,1737.76756253857,13171.8652534925,-0.406763577925873,2.03457797877677
1932,626,119434.262308063,119908.305349375,78602.4765730151,20198.1785678727,78602.4765730151,163406.847302211,0.152811163527887,2.24738263766391
1976,3478,9547.60921105288,9811.18777898291,4438.61128030901,3146.97249806147,4438.61128030901,17229.6377048377,0.165921827648144,1.78627349839307
1988,1822,5057.3909435799,4985.15584787183,3708.33648617661,689.496929102487,3708.33648617661,6941.08308686627,0.474029876838444,2.40332671481198
1995,2585,12862.8973226185,12124.6959499734,6527.53977089575,3717.21175870292,6527.53977089575,23531.5625128494,0.685062518642423,2.6609184537177
2002,2507,35118.0691593921,34489.6749188066,29017.9096455512,3627.5591384543,29017.9096455512,42770.5818443715,0.451894217863061,1.97638650133195
2019,695,149443.358720329,149357.131213145,86127.131279382,21685.1559576762,86127.131279382,195945.280595121,-0.320981636888161,4.07600669478353
2025,334,1609.9131277689,1648.47711771787,1137.16399007598,164.00974151269,1137.16399007598,1908.21327995009,-1.03510806486406,3.73371345817269
2055,930,9214.09904724707,6959.73391284637,4713.98349519543,3846.37820813413,4713.98349519543,24637.3582506325,0.639355507420676,2.54141922689695
