gvkey,GroupCount,mean_V,median_V,mode_V,std_V,min_V,max_V,skewness_V,kurtosis_V
1045,2662,20887.3645532621,20420.4288291127,17263.496148144,2113.40275460735,17263.496148144,27497.6687573692,0.908385702219947,3.21423104387734
1075,742,8079.63167838282,8062.48155727255,6709.73927308053,722.933334505771,6709.73927308053,9701.03058946711,0.355742131142575,2.38669358912379
1078,2466,91971.0146804805,90727.1674365111,58245.0144016891,16169.5369105388,58245.0144016891,140471.357572638,0.622979088477872,2.88977266079163
1161,799,10601.912329464,10774.3856112111,5935.48601558767,2891.75725429663,5935.48601558767,19330.3696883291,0.352260688051433,2.69555007878012
1177,4266,45645.4522307808,39997.0171771832,23901.2284656035,18720.8463971498,23901.2284656035,95876.33686784,1.04027097583116,2.99866306792243
1209,4836,27325.1357222588,23737.7505277862,10709.401147481,12974.1828678008,10709.401147481,76774.925444746,1.14724128469199,4.13032341303394
1300,3189,56740.5979330547,50045.5860906412,25972.9954680677,19500.6177918464,25972.9954680677,104927.500348969,0.941074500225515,2.85832966637829
1356,3866,32940.4811428268,31482.3230300609,19271.9594715441,7700.97048931987,19271.9594715441,54745.6796526496,0.297299436383363,1.84688790914569
1380,2400,33125.6029833993,31889.5577836296,18166.5624880296,6510.14347121155,18166.5624880296,55103.8333206909,0.405252190057336,3.02298609796758
1408,2389,13190.737677178,13594.2617763595,6983.72528128329,3269.17684668108,6983.72528128329,19431.0544013819,0.082354563902769,1.72296645114267
1440,3542,37995.4191135571,36482.15498746,25135.6786439735,7733.98008733953,25135.6786439735,56534.8235262294,0.476405937054144,2.19650717099669
1447,2147,144457.868224251,145459.009907342,94388.6025555994,21503.6761614277,94388.6025555994,186067.559888677,-0.358917324171688,2.75503057907014
1449,452,51178.8217507805,50002.5095645877,44415.1906800648,3853.00345532777,44415.1906800648,61052.3673468917,0.683623002842915,2.87608184231756
1468,1855,1731.48296836284,1770.91367346239,845.440496658367,442.514850843882,845.440496658367,2528.85725804082,0.0475315338196807,1.81337564454749
1487,3179,445487.87221707,432666.668323359,268277.75633075,118031.36796614,268277.75633075,661456.008661471,0.0978426175286862,1.83361992061361
1602,3022,84998.0823692046,80912.5775810009,35165.7717714224,22626.3251635524,35165.7717714224,157536.095547332,1.14909169262401,4.17822406864024
