gvkey,GroupCount,mean_mcap,median_mcap,mode_mcap,std_mcap,min_mcap,max_mcap,skewness_mcap,kurtosis_mcap
1045,2662,3063.56138237979,2443.109095,1134.31233,1825.04334384453,265.12894,9078.02808,1.00045969744524,3.19439236575688
1075,742,3980.8677930593,3900.7674,4075.55467,494.538799217701,3007.73184,5152.1568,0.535338314219135,2.62237759181308
1078,2466,76214.0610395174,74701.14131,66052.55267,12052.4582248549,48379.034,113196.06142,0.376573925158843,2.79750957710454
1161,799,6248.56743655194,6120.94002,2368.9576,3456.2819731801,1095.2766,16919.46975,0.700942466481699,3.2943479008696
1177,4266,23269.586831744,20620.905,12900.96,14692.123019555,3354.58564,67274.657,1.04842323432664,3.45330252519167
1209,4836,22447.0659581803,18247.506025,10320.05824,12214.7644040129,7635.84675,69066.92698,1.31472016198358,4.44866105179514
1300,3189,39924.7205198755,33322.35456,29538.7565,16855.5108047855,15730.368,83525.39295,1.08997017059654,3.1421055599336
1356,3866,19858.9522965787,19097.603905,9145.92114,8391.96957062343,4185.2655,41171.9614,0.184039638341007,1.73969817439788
1380,2400,21384.4499291958,19944.459175,19208.87983,5737.13337503776,9836.01486,43212.1818,0.780730978320071,3.57398285262781
1408,2389,9197.93714398348,9399.667435,5608.4459,2565.96806519204,2712.53677,14090.13002,-0.125251211562189,1.76011315024146
1440,3542,17459.5168858498,16725.02572,14228.86856,5168.56196678824,6160.49115,31590.2268,0.632824820564632,2.7417891341267
1447,2147,55394.9769216441,58129.70238,64430.8637,13867.0351812656,12015.0243,77475.05265,-0.935160680013474,3.42021906388161
1449,452,24318.8585120133,23856.55125,23767.5275,3081.42209282434,17916.2235,31976.27325,0.278179467051174,2.80284006993782
1468,1855,1061.82498458221,1191.18096,1763.2175,409.686897199265,135.81108,1789.50547,-0.284657387292097,2.15724200087798
1487,3179,104677.458134951,107956.0236,55327.39176,66587.0882744962,1229.75425,217227.62885,-0.158455556189535,1.52874980015496
1602,3022,72974.365299166,70822.06514,54424.03936,18942.0668516336,32281.38823,130561.3988,0.792400677535366,3.35929572862359
1632,754,12063.6988787533,11755.05115,10454.97513,3240.98499166683,4688.2073,19198.99566,-0.0341015310520853,3.16197316559214
1661,3143,6637.89054006523,6029.36054,3890.1138,2303.53711850446,2418.879,14011.15086,0.742262295705829,2.77313225985685
1678,2902,24096.855895403,23826.35612,6409.00425,10837.4328330557,4842.975,48970.8652,-0.126873315011948,1.91730100181779
1690,298,113525.647958575,111035.76288,80714.59375,29352.2752508403,71768.33125,174959.1582,0.366310566163194,2.10756916019513
1704,3123,23714.0711353781,24557.69328,16356.59972,6251.2603681681,10921.1124,44782.99262,0.251344870079166,2.71432601867257
