gvkey,GroupCount,mean_sigma_V,median_sigma_V,mode_sigma_V,std_sigma_V,min_sigma_V,max_sigma_V,skewness_sigma_V,kurtosis_sigma_V
1045,2662,0.0905604513648071,0.0905604513648061,0.0905604513648061,9.85508058439946e-16,0.0905604513648061,0.0905604513648061,-1,1
1075,742,0.0785676044361701,0.0785676044361702,0.0785676044361702,1.11097191039303e-16,0.0785676044361702,0.0785676044361702,1,1
1078,2466,0.168743644519637,0.168743644519638,0.168743644519638,9.16119764305661e-16,0.168743644519638,0.168743644519638,1,1
1161,799,0.26181819681038,0.261818196810379,0.261818196810379,5.55459217647212e-16,0.261818196810379,0.261818196810379,-1,1
1177,4266,0.123783633328014,0.123783633328012,0.123783633328012,1.88760039256886e-15,0.123783633328012,0.123783633328012,-1,1
1209,4836,0.177763274839149,0.177763274839145,0.177763274839145,4.08049152435701e-15,0.177763274839145,0.177763274839145,-1,1
1300,3189,0.166851167048279,0.166851167048279,0.166851167048279,1.94319498850766e-16,0.166851167048279,0.166851167048279,-1,1
1356,3866,0.19968182637056,0.199681826370564,0.199681826370564,3.99731990603694e-15,0.199681826370564,0.199681826370564,1,1
1380,2400,0.234577544371045,0.234577544371043,0.234577544371043,1.94329518843927e-15,0.234577544371043,0.234577544371043,-1,1
1408,2389,0.163066471713322,0.163066471713323,0.163066471713323,1.27702377790907e-15,0.163066471713323,0.163066471713323,1,1
1440,3542,0.0875107016628137,0.0875107016628149,0.0875107016628149,1.20753801122413e-15,0.0875107016628149,0.0875107016628149,1,1
1447,2147,0.121979495460991,0.12197949546099,0.12197949546099,6.1076491693273e-16,0.12197949546099,0.12197949546099,-1,1
1449,452,0.0935002207539284,0.0935002207539286,0.0935002207539286,2.08397472941012e-16,0.0935002207539286,0.0935002207539286,1,1
1468,1855,0.189989000491919,0.189989000491917,0.189989000491917,1.80459889538471e-15,0.189989000491917,0.189989000491917,-1,1
1487,3179,0.0696913389998014,0.0696913389998008,0.0696913389998008,6.24598697313298e-16,0.0696913389998008,0.0696913389998008,-1,1
1602,3022,0.215288411518506,0.215288411518507,0.215288411518507,8.88325408268728e-16,0.215288411518507,0.215288411518507,1,1
1632,754,0.318448083807411,0.318448083807412,0.318448083807412,8.3321998493761e-16,0.318448083807412,0.318448083807412,1,1
1661,3143,0.280103780147385,0.280103780147386,0.280103780147386,6.10719826829286e-16,0.280103780147386,0.280103780147386,1,1
1678,2902,0.240850142316552,0.240850142316552,0.240850142316552,3.60884666973134e-16,0.240850142316552,0.240850142316552,-1,1
1690,298,0.335552358505507,0.335552358505507,0.335552358505507,1.11209051631445e-16,0.335552358505507,0.335552358505507,1,1
1704,3123,0.298331976208061,0.298331976208062,0.298331976208062,7.77280571737124e-16,0.298331976208062,0.298331976208062,1,1
1722,4755,0.145673832666492,0.145673832666496,0.145673832666496,4.33032516437255e-15,0.145673832666496,0.145673832666496,1,1
1773,4040,0.146929134979445,0.146929134979447,0.146929134979447,1.80433573771464e-15,0.146929134979447,0.146929134979447,1,1
1891,1524,0.122840495719252,0.122840495719251,0.122840495719251,7.91293558393971e-16,0.122840495719251,0.122840495719251,-1,1
1913,1788,0.181488813953636,0.181488813953637,0.181488813953637,8.88426895972912e-16,0.181488813953637,0.181488813953637,1,1
1919,4758,0.1655116339165,0.165511633916497,0.165511633916497,3.21998516510472e-15,0.165511633916497,0.165511633916497,-1,1
1920,4617,0.193337664392745,0.193337664392749,0.193337664392749,3.91396004874365e-15,0.193337664392749,0.193337664392749,1,1
1932,626,0.113033259778327,0.113033259778327,0.113033259778327,3.19444368816509e-16,0.113033259778327,0.113033259778327,1,1
1976,3478,0.278855649800227,0.278855649800231,0.278855649800231,4.0528967293722e-15,0.278855649800231,0.278855649800231,1,1
1988,1822,0.141967922753408,0.141967922753407,0.141967922753407,6.10790301889766e-16,0.141967922753407,0.141967922753407,-1,1
1995,2585,0.11853068355134,0.118530683551339,0.118530683551339,1.34640586921637e-15,0.118530683551339,0.118530683551339,-1,1
2002,2507,0.0338785829571652,0.0338785829571656,0.0338785829571656,4.44177806202036e-16,0.0338785829571656,0.0338785829571656,1,1
2019,695,0.114436367703327,0.114436367703326,0.114436367703326,5.1384795675046e-16,0.114436367703326,0.114436367703326,-1,1
2025,334,0.284930271102751,0.284930271102751,0.284930271102751,5.55944388268295e-17,0.284930271102751,0.284930271102751,-1,1
2055,930,0.271039877766803,0.271039877766804,0.271039877766804,6.109512202873e-16,0.271039877766804,0.271039877766804,1,1
2085,1139,0.149408335969814,0.149408335969814,0.149408335969814,4.44284285286596e-16,0.149408335969814,0.149408335969814,-1,1
2086,4390,0.164389454922429,0.164389454922432,0.164389454922432,2.83139121307574e-15,0.164389454922432,0.164389454922432,1,1
2111,263,0.152941875615582,0.152941875615582,0.152941875615582,0,0.152941875615582,0.152941875615582,NaN,NaN
2136,1353,0.130133984649651,0.130133984649651,0.130133984649651,2.22126706833892e-16,0.130133984649651,0.130133984649651,-1,1
2137,2217,0.142530359157419,0.142530359157419,0.142530359157419,1.38809187244494e-16,0.142530359157419,0.142530359157419,-1,1
2150,1245,0.133847352873573,0.133847352873572,0.133847352873572,7.4970168712002e-16,0.133847352873572,0.133847352873572,-1,1
2154,1575,0.175566914166041,0.175566914166041,0.175566914166041,3.60937084398158e-16,0.175566914166041,0.175566914166041,1,1
2176,483,0.198073681519187,0.198073681519186,0.198073681519186,5.27902702978283e-16,0.198073681519186,0.198073681519186,-1,1
2184,2855,0.2197050604107,0.219705060410701,0.219705060410701,8.60573570694058e-16,0.219705060410701,0.219705060410701,1,1
2259,1358,0.130979254766382,0.130979254766383,0.130979254766383,5.55316010942581e-16,0.130979254766383,0.130979254766383,1,1
2269,2150,0.204929391810775,0.204929391810773,0.204929391810773,2.24872464490905e-15,0.204929391810773,0.204929391810773,-1,1
2285,4872,0.149705182548731,0.149705182548736,0.149705182548736,4.49686477431608e-15,0.149705182548736,0.149705182548736,1,1
2290,1428,0.162115797961798,0.162115797961798,0.162115797961798,3.33183588738959e-16,0.162115797961798,0.162115797961798,1,1
2338,2632,0.223674961001134,0.223674961001131,0.223674961001131,3.22025858078122e-15,0.223674961001131,0.223674961001131,-1,1
2369,1227,0.137964372837836,0.137964372837837,0.137964372837837,8.88540571976011e-16,0.137964372837837,0.137964372837837,1,1
2393,1229,0.209828176734234,0.209828176734234,0.209828176734234,1.94368121121882e-16,0.209828176734234,0.209828176734234,-1,1
2403,3404,0.178202266045086,0.178202266045086,0.178202266045086,2.77596534200461e-17,0.178202266045086,0.178202266045086,-1,1
2408,3558,0.152259441481544,0.152259441481542,0.152259441481542,1.74884704370906e-15,0.152259441481542,0.152259441481542,-1,1
2410,4872,0.210782244007618,0.210782244007621,0.210782244007621,2.80360087781435e-15,0.210782244007621,0.210782244007621,1,1
2411,4499,0.244137610105325,0.244137610105322,0.244137610105322,3.16448732758235e-15,0.244137610105322,0.244137610105322,-1,1
2444,2800,0.190020022754923,0.190020022754925,0.190020022754925,1.63787146448802e-15,0.190020022754925,0.190020022754925,1,1
2504,1576,0.160988893519658,0.160988893519657,0.160988893519657,6.1081648124862e-16,0.160988893519657,0.160988893519657,-1,1
2547,3299,0.0933952469609935,0.093395246960992,0.093395246960992,1.48514840319086e-15,0.093395246960992,0.093395246960992,-1,1
2558,4791,0.0625328608547637,0.0625328608547635,0.0625328608547635,2.22067781649162e-16,0.0625328608547635,0.0625328608547635,-1,1
2574,3315,0.173822349455406,0.173822349455406,0.173822349455406,2.77597629243373e-16,0.173822349455406,0.173822349455406,-1,1
2593,1890,0.205959871442967,0.205959871442966,0.205959871442966,1.33262022122754e-15,0.205959871442966,0.205959871442966,-1,1
2663,4870,0.131192852073073,0.131192852073075,0.131192852073075,2.41498303615944e-15,0.131192852073075,0.131192852073075,1,1
2696,3145,0.176199780236392,0.176199780236392,0.176199780236392,4.71919818428791e-16,0.176199780236392,0.176199780236392,1,1
2697,1688,0.253205915163676,0.253205915163677,0.253205915163677,9.43969224092339e-16,0.253205915163677,0.253205915163677,1,1
2698,492,0.135252480116183,0.135252480116183,0.135252480116183,1.66702953436065e-16,0.135252480116183,0.135252480116183,1,1
2710,1602,0.148180631798661,0.148180631798662,0.148180631798662,8.88455758791881e-16,0.148180631798662,0.148180631798662,1,1
2721,4636,0.193338054520042,0.193338054520046,0.193338054520046,3.60861404580659e-15,0.193338054520046,0.193338054520046,1,1
